abstract,new_old,serious
valenciennes hospital france NUM beds facility  half beds medicine  surgery obstetrics beds  pharmacy department working securing drug therapy high risk patients  especially paediatric  pd  paediatric surgery department  psd   pd  actions organized  securing storage drugs delivery  creation quick orders  increase level securing  implemented pharmaceutical analysis wards  however  two medication errors related paracetamol overdose occurred psd despite pharmaceutical interventions  pi    listed pi evaluate pertinence identify key areas improvement  design  electronic patient record  retrieved pi thanks query working NUM-month period  focused several criteria  type problem  therapeutic class  future pi criticality drug related problem  drp   identify recurrent problems  results  NUM pi pd NUM pi psd retrieved overdose problems  NUM NUM   pd  NUM NUM   psd  duplicate prescription problems  NUM NUM   pd  NUM NUM   psd   NUM NUM   pi pd NUM NUM   psd involved analgesics  mostly non-opioid analgesics  NUM NUM   cases pd NUM NUM   psd  change prescription physician  level criticality drp categorized high  NUM NUM   pd  NUM NUM   psd   medium  NUM NUM   pd  NUM NUM   psd  low  NUM NUM   pd  NUM   psd  pharmacist  pd  leading cause overdose prescription paracetamol every NUM h exceeding recommended daily dose  psd  problems computerized prescription identified  switch intravenous oral route paracetamol responsible majority duplicate prescriptions  conclusion   several areas improvement possible  create paracetamol prescribing order sentences based weight  renew physicians training computerized order entry raise awareness pharmaceutical interventions harmonize pharmacist practices criticality assessment  actions improve communication pharmacy department pd psd  secure prescriptions paracetamol decrease risk medication error,old,Non-Serious
large paracetamol overdose may cause early neurological symptoms lactic acidosis impairment cellular respiration  heavy body burden paracetamol also increases risk severe hepatotoxicity occur despite timely treatment standard doses n-acetylcysteine  nac   non-standard treatment options cases include enhanced removal paracetamol extracorporeal elimination  increasing hepatic antioxidant capacity increasing nac dosage decreasing formation toxic metabolite administration fomepizole  potent inhibitor cypNUMeNUM  present case treatment modalities used  case report  NUM-year-old man ingested almost NUM g paracetamol NUM NUM hours admission  prior history included weight loss surgery NUM months previously  possible risk factor hepatotoxicity paracetamol poisoning  presentation awake disoriented  activated charcoal  NUM g  given  treatment nac started NUM hours NUM NUM hour paracetamol determined NUM  g ml  NUM  mol l   laboratory findings included lactate NUM mmol l glucose NUM mmol l  swedish poisons information centre consulted risk complications considered significant  treatment fomepizole NUM mg kg  NUM NUM hours  dialysis recommended  second nac dose doubled  NUM mg kg h  NUM hours initiation continuous venovenous hemodiafiltration  cvvhdf   effluent flow NUM ml kg h  compensate extracorporeal elimination nac  third nac dose maintained level NUM hours lowered  NUM NUM mg kg h   paracetamol concentrations   g ml  NUM  NUM hours   NUM  NUM NUM hours   NUM  NUM NUM hours   NUM  NUM NUM hours   lactic acidosis resolved NUM hours  mental status normal NUM hours sedation reduced  nac cvvhdf terminated NUM hours  alt inr minimally elevated NUM u l  NUM NUM  kat l  NUM NUM  respectively NUM NUM hours  normal NUM hours  kidney function unaffected  conclusion  patient massive paracetamol ingestion  altered mental status early lactic acidosis made rapid recovery developed liver damage  non-standard therapy used perceived risk inadequacy standard therapy  initial paracetamol concentration available time decision-making  nac-dosing increased fomepizole cvvhdf administered  none treatments proven benefit impossible say contributed favourable outcome case,old,Serious
pain cancer patients often related oncologic therapies diagnostic procedures  placement fully implantable venous access systems common procedure oncology patients  local anaesthesia method commonly used overcome pain related surgical procedure  local anaesthetic may unable completely eradicate pain  study investigates effectiveness safety fentanyl buccal tablet  fbt   administered oravescent  technology  reducing procedural pain related placement indwelling central venous access systems  ports  opioid-na ve cancer patients methodsinpatients required indwelling vascular access  port  preoperatively assessed self-assessment questionnaire anxiety pain  NUM  g fbt administered NUM min preparation operating field  self-assessment scale pain experienced procedure administered end procedure  vital signs presence side effects bothersome symptoms monitored procedure  end  NUM h later resultsfrom october NUM june NUM  NUM patients enrolled study  total NUM  NUM NUM    patients perceived little pain procedure  four patients  NUM NUM    reported lot pain  patient reported severe pain  data significant terms lower expected presence pain  fisher test p   NUM NUM  assessed previous experience without procedural analgesia  common side effects fbt drowsiness  experienced NUM patients end procedure  NUM NUM     significantly reduced  p   NUM NUM  NUM patients NUM h  NUM NUM     nausea present NUM cases end procedure  NUM NUM    NUM cases NUM h later  NUM NUM     vomiting present NUM cases end  NUM NUM    NUM patients NUM h  NUM NUM     significant change vital parameters observed baseline subsequent measurements patients studied conclusionsthe significant improvement number patients experiencing little pain  accompanied lower number non-severe side effects  suggests fbt valid  practical safe method procedural analgesia  necessary perform studies  taking account need standard antiemetic pre-medication minimise incidence nausea vomiting,old,Non-Serious
acute drug overdose  especially paracetamol  may cause acute liver failure leading registration transplantation  alft   population statistics between-country differences alft related overdose poorly described  present study evaluate overdose alft multi-country study acute liver transplantation  salt  methodsall adult overdose-related alft  without suicidal intent  france  greece  ireland  italy  netherlands  portugal uk NUM NUM identified liver transplant registries hospital records  compared whole-country per capita use paracetamol resultssix hundred cases alft identified NUM NUM eligible transplant centres  NUM involved overdose  NUM intentional  NUM non-intentional  NUM uncertain   overdose represented NUM  all-cause alft  ireland NUM   uk NUM   france NUM   netherlands NUM   italy NUM   overdose alft mostly females  NUM    mean age NUM NUM  à NUM NUM years  total NUM  NUM   overdoses involved paracetamol  event rates ranged one alft NUM NUM tons paracetamol ireland  one NUM tons italy one case NUM million inhabitants NUM years italy one case NUM NUM inhabitants per year ireland  per-country event rates non-overdose alft exposed paracetamol NUM NUM NUM NUM per million treatment-years sold conclusionsparacetamol overdose found represent one-sixth all-cause alft  NUM-fold difference europe rates paracetamol overdose alft  NUM-fold difference per million inhabitants,old,Serious
evaluate safety  efficacy possible complications NUM-core transrectal prostate biopsies using two doses ciprofloxacin prophylaxis infectious complications materials methodssixteen-core prostate biopsies performed number patients different signs potential prostate cancer  complications assessed procedure one week later  procedure  urine samples collected culture  rate post-biopsy complications  hospital visits hospitalizations also analyzed  ciprofloxacin  NUM mg  administered two hours  eight hours procedure resultsthe overall rate post-biopsy complications NUM NUM   NUM NUM  considered major complications due hemorrhage  urinary retention  eight patients required hospital treatment post-biopsy  fever occurred one patient  NUM NUM    incidence orchitis  epididymitis  prostatitis  septicemia  hospitalization  death  urine culture showed positive results five patients  NUM NUM   conclusionone-day prophylaxis ciprofloxacin proved safe effective prevention infectious complications following NUM-core prostate biopsies,old,Serious
study evaluate neurologic problems caused nutritional vitamin bNUM deficiency infancy  twenty-four cases NUM NUM months age neurologic symptoms signs diagnosed nutritional vitamin bNUM deficiency analyzed  common symptoms developmental retardation  afebrile seizures  involuntary movements  mean vitamin bNUM levels lower patients neurologic extraneurologic involvement compared neurologic symptoms  cases treated vitamin bNUM  patients severe deficiencies  involuntary movements observed vitamin bNUM treatment using cyanocobalamin form  NUM-year follow-up  NUM patients considered neurodevelopmentally normal  NUM patients fully recover  admission  lowest vitamin bNUM levels  great importance prevent  diagnose  treat vitamin bNUM deficiency promptly prevent long-term neurologic problems,old,Non-Serious
digoxin pharmacological  hemodynamic  electrophysiological properties well understood  however  modern heart failure  hf  treatment  effect yet fully investigated objectivethe present study determine effects digoxin outcomes patients mild hf implanted implantable cardioverter-defibrillator  icd  cardiac resynchronization therapy defibrillator  crt-d  device methodswe investigated effect digoxin treatment end points hf death  hf alone  death alone  ventricular tachycardia ventricular fibrillation  vt vf  NUM patients mild hf  new york heart association class ii   prolonged qrs duration   NUM ms   reduced left ventricular ejection fraction   NUM   enrolled multicenter automatic defibrillator implantation trial - cardiac resynchronization therapy trial  multivariate cox proportional hazards regression models used determine effect time-dependent digoxin usage end points resultsdigoxin therapy associated increased decreased risk hf death  hazard ratio  hr  NUM NUM  NUM  confidence interval  ci  NUM NUM-NUM NUM  p    NUM NUM   hf alone  hr NUM NUM NUM  NUM  ci NUM NUM-NUM NUM  p    NUM   death alone  hr NUM NUM  NUM  ci NUM NUM-NUM NUM  p    NUM   however  digoxin associated significant NUM  increased risk vt vf  hr NUM NUM  NUM  ci NUM NUM-NUM NUM  p    NUM   driven significantly increased risk vt vf heart rate  NUM beats min  hr NUM NUM  NUM  ci NUM NUM-NUM NUM  p    NUM   whereas increased risk vt vf heart rate  NUM beats min evident  hr NUM NUM  NUM  ci NUM NUM-NUM NUM  p    NUM   significant differences digoxin effect end points found patients icd patients crt-d  interaction p    NUM  conclusionthe use digoxin patients mild hf implanted icd crt-d device associated reductions hf death events  however  digoxin therapy associated increased risk high-rate vt vf   NUM beats min,old,Serious
abuse substances available anesthesiologists workspace potentially lethal occupational hazard  primary define prevalence substance abuse cases among canadian anesthesiologists university-affiliated hospitals  secondary describe current management confirmed cases  rehabilitation procedures offered  preventative strategies employed  methods  conducted cross-sectional electronic survey canadian anesthesia residency program directors site chiefs university-affiliated hospitals  data analysis performed using descriptive statistics  results  survey response rate NUM   NUM NUM   substance abuse reported NUM NUM  residents NUM NUM  clinical fellows ten-year period ending june NUM  fentanyl abused nine NUM reported cases  present  one NUM respondents  NUM NUM   reported formal education program substance abuse faculty members  NUM  described mandatory education residents  majority participants perceive substance abuse growing problem  seventy-one percent respondents indicated methods controlled-drug handling changed previous ten years  however  NUM  think incidence controlled substance abuse could decreased stringent measures  NUM  respondents supported random urine drug testing  conclusion  prevalence substance abuse among canadian anesthesiologists substances abused appear comparable data united states  residents group often affected  early recognition treatment chemically dependent anesthesiologists remain imperfect,old,Serious
paper presents series NUM fatalities occurred use misuse fentanyl transdermal  td  patches  durogesic  generic   case reports include NUM men NUM women aged NUM NUMyears  number patches individual NUM NUM  doses NUM NUM g h   eight cases corresponded multiple-patch cutaneous applications  one case together possible  concomitant intravenous injection fentanyl recovered deconditioning one patches   one case ingestion patch  postmortem fentanyl blood concentrations found range NUM NUM NUMng ml  view data literature  authors highlight difficulties interpretation raised forensic situations  particularly regard responsibility fentanyl td device  occurrence death  several factors  proximity even overlap therapeutic toxic blood levels  frequency mixed-drug intoxications  postmortem redistribution  make problematic conclude sole basis blood levels  require take account available data  case history  autopsy  histology,old,Serious
NUM year-old female presented hospital one week fatigue two days vomiting diarrhea  physical exam significant non-localized abdominal tenderness  hypotensive  hypothermic required vasopressors initial NUM liters crystalloid resuscitation  lactic acid level NUM mmol l  serum bicarbonate NUM mmol l creatinine NUM NUM mg dl  arterial blood gas showed ph NUM NUM  pcoNUM NUM  poNUM NUM  bicarbonate NUM  rest laboratory results pending became bradycardic single dose NUM meq bicarbonate given suspected hyperkalemia setting acidosis  treatment initiated septic shock presumed secondary intraabdominal source  confounded metformin use  despite vasopressors  antibiotics ventilatory support  acidosis worsened NUM NUM  serum bicarbonate level NUM  deemed unstable imaging studies supportive treatment continued  infectious cause apparent thought severe lactic acidosis entirely result metformin toxicity  hemodialysis initiated patient acidosis improved NUM NUM NUM hours hemodialysis lactate normalized within NUM hours  two weeks hospitalization patient discharged rehab  end infectious cause confirmed supporting diagnosis metformin-associated lactic acidosis  role bicarbonate lactic acidosis controversial even ph NUM-NUM NUM  bicarbonate administration may transiently improve arterial ph raise pcoNUM  consequently might worsen intracellular acidosis  decrease ionized calcium  previous studies shown bicarbonate administration improve hemodynamics crystalloids improve response vasopressors  hand hemodialysis administered severe metformin-associated lactic acidosis shown confer similar mortality rates less severe cases treated without hemodialysis  case suggests severe metformin-associated lactic acidosis hemodialysis first line treatment remove metformin therefore treating underlying cause  bicarbonate reserved cases acidosis thought life threatening hemodialysis available,old,Serious
